Name,Affiliation,Link,Scholar
Brenna Argall,Northwestern University,http://users.eecs.northwestern.edu/~argall/,https://scholar.google.com/citations?user=nhpEPFgAAAAJ
Tirthankar Bandyopadhyay,CSIRO,https://people.csiro.au/B/T/Tirtha-Bandy,https://scholar.google.com/citations?user=MHPQL-QAAAAJ
Kostas Bekris,Rutgers University,https://robotics.cs.rutgers.edu/pracsys/members/kostas-bekris/,https://scholar.google.com/citations?user=gwC7rCUAAAAJ
Tim Bretl,University of Illinois at Urbana-Champaign,http://bretl.csl.illinois.edu/,https://scholar.google.com/citations?user=ab_0lGcAAAAJ
Raffaella Carloni,University of Groningen,https://www.roboticsresearchlab.nl/,https://scholar.google.com/citations?user=7wgtCKcAAAAJ
Luca Carlone,Massachusetts Institute of Technology,https://lucacarlone.mit.edu/,https://scholar.google.com/citations?user=U4kKRdMAAAAJ
Mehmet Dogar,University of Leeds,https://eps.leeds.ac.uk/computing/staff/743/dr-mehmet-dogar,https://scholar.google.com/citations?user=jikMhF4AAAAJ
Matthew Gombolay,Georgia Institute of Technology,https://core-robotics.gatech.edu/people/matthew-gombolay/,https://scholar.google.com/citations?user=Ihyz20wAAAAJ
Roderich Groß,The University of Sheffield,https://www.sheffield.ac.uk/naturalrobotics,https://scholar.google.com/citations?user=s-Unqd8AAAAJ
Christoffer Heckman,University of Colorado at Boulder,http://www.ristoffer.ch/,https://scholar.google.com/citations?user=-YOtPcIAAAAJ
Robert Katzschmann,ETH Zürich,https://srl.ethz.ch/,https://scholar.google.com/citations?user=bruYeAQAAAAJ
Huaping Liu,Tsinghua University,https://sites.google.com/site/thuliuhuaping/,https://scholar.google.com/citations?user=HXnkIkwAAAAJ
Brian Low,National University of Singapore,https://www.comp.nus.edu.sg/~lowkh/research.html,https://scholar.google.com/citations?user=2P-Q09UAAAAJ
Anirudha Majumdar,Princeton University,https://irom-lab.princeton.edu/majumdar/,https://scholar.google.com/citations?user=ibu3FwsAAAAJ
Michael Mistry,University of Edinburgh,https://homepages.inf.ed.ac.uk/mmistry/index.html,https://scholar.google.com/citations?user=e378qEIAAAAJ
Songhwai Oh,Seoul National University,http://rllab.snu.ac.kr/,https://scholar.google.com/citations?user=VEzNY_oAAAAJ
Lucia Pallottino,University of Pisa,https://www.centropiaggio.unipi.it/~pallottino,https://scholar.google.com/citations?user=p0OSVwgAAAAJ
Lerrel Pinto,New York University,https://www.lerrelpinto.com/,https://scholar.google.com/citations?user=pmVPj94AAAAJ
Michael Posa,University of Pennsylvania,https://dair.seas.upenn.edu/,https://scholar.google.com/citations?user=DCSFMuAAAAAJ
Huihuan Alex Qian,"The Chinese University of Hong Kong, Shenzhen",https://sse.cuhk.edu.cn/en/faculty/qianhuihuan,https://scholar.google.com/citations?user=78SEQY4AAAAJ
Michael Rubenstein,Northwestern University,https://users.cs.northwestern.edu/~mrubenst/,https://scholar.google.com/citations?user=JVNms8wAAAAJ
Lydia Tapia,University of New Mexico,https://www.cs.unm.edu/tapialab/People/tapia/,https://scholar.google.com/citations?user=V2LAAxUAAAAJ
Adriana Tapus,ENSTA Paris,https://perso.ensta-paris.fr/~tapus/eng/,https://scholar.google.com/citations?user=lPDGYhwAAAAJ&hl=en
Rudolph Triebel,DLR / Technical University of Munich,https://vision.in.tum.de/members/triebel,https://scholar.google.com/citations?user=SuOUxjUAAAAJ
Eiichi Yoshida,National Institute of Advanced Industrial Science and Technology,https://staff.aist.go.jp/e.yoshida/,https://scholar.google.com/citations?user=XWZydeMAAAAJ